experiment,foot,noise,true_xy_rmse_m,endpoint_gap_m,elevation_range_m,stance_distance_m
baseline,left,False,4.398231843482587,4.4952786546542445,0.7352151087094821,200.5894425572137
v1_gravity_bias,left,False,4.000508510409518,3.1872447861803015,0.7368415927446045,200.6056896235963
stride_gravity,left,False,0.020234049753741,2.0057114646033107e-12,0.11971143141196078,199.9470127944176
baseline,right,False,10.894937485570367,7.118377893765966,0.9332899189742958,201.8236692568534
v1_gravity_bias,right,False,9.50361324766374,4.391611828027872,0.9384231907884327,201.7979015283367
stride_gravity,right,False,0.020234049752918697,1.3877982178411401e-12,0.1197114314252418,199.94701279441625
baseline,left,True,3.6219583701766354,4.9610216739077,0.54113137470263,199.81764463705287
v1_gravity_bias,left,True,1.8953851990806556,1.6377170010774054,0.5070476225752397,199.83919636938964
stride_gravity,left,True,0.02579210117383983,0.031102094729287544,0.13954364744274397,199.92037068814733
baseline,right,True,4.8126622998625015,6.3202595270858195,0.46151693830606344,199.22349491161864
v1_gravity_bias,right,True,1.7081811383541552,1.0007348134635787,0.4763558602106881,199.20856316392786
stride_gravity,right,True,0.03221093867508815,0.03993763315070874,0.13341266852470107,199.9123170297615
